model_key,epoch,train_loss,val_loss
logistic_regression,1,1.0200594511582062,1.1098698961272495
logistic_regression,2,0.5108311302460211,0.536899230413056
logistic_regression,3,0.3678049545659757,0.45452738182056657
logistic_regression,4,0.3780460997755055,0.4663859499183955
logistic_regression,5,0.31979858651562776,0.3949497506777001
logistic_regression,6,0.3413123262000073,0.39760530685422996
logistic_regression,7,0.28622984696927545,0.3475184655944921
logistic_regression,8,0.28936875546270974,0.31941633053624613
logistic_regression,9,0.2837612994137249,0.3224266651841743
logistic_regression,10,0.2703270013221697,0.30678816996385777
logistic_regression,11,0.2761035909739662,0.31450430459343903
logistic_regression,12,0.27650490792325244,0.3172494017789613
logistic_regression,13,0.25816472493397075,0.305724074368553
logistic_regression,14,0.2554720339139133,0.2920738455988598
logistic_regression,15,0.26465085468268923,0.29989361666050196
logistic_regression,16,0.2577444565249338,0.296693013215856
logistic_regression,17,0.24771961642924434,0.2781323815291102
logistic_regression,18,0.2472973584271956,0.2880914224041308
logistic_regression,19,0.24957483168260003,0.281719488349137
logistic_regression,20,0.24362598026734036,0.2806181433208812
logistic_regression,21,0.24344499168302863,0.279988080054918
logistic_regression,22,0.24839216193368688,0.28178136399049347
logistic_regression,23,0.2467799593125936,0.2761542883449203
logistic_regression,24,0.24087235976962737,0.276951543105574
logistic_regression,25,0.24546497506766182,0.27660839603164794
logistic_regression,26,0.24387953491835573,0.2705960695424267
logistic_regression,27,0.2394516163035325,0.2723976234121096
logistic_regression,28,0.24875695246603166,0.28103731229173357
logistic_regression,29,0.24520967299960134,0.268526480616872
logistic_regression,30,0.24683031313552511,0.28312482382421306
logistic_regression,31,0.24197945976425855,0.27297038193625967
logistic_regression,32,0.2473536000149834,0.2787459489760956
logistic_regression,33,0.24379908660324592,0.27608093751378404
logistic_regression,34,0.24359816867065792,0.27388544818260535
logistic_regression,35,0.24936628495355737,0.2784142704617176
logistic_regression,36,0.2426521770475803,0.2727083945265144
logistic_regression,37,0.24576780564132764,0.27918799633611313
logistic_regression,38,0.2441134941599249,0.27185297085660587
logistic_regression,39,0.24515217115543544,0.2775706041930022
logistic_regression,40,0.24071541061665547,0.2731707894132457
logistic_regression,41,0.24269328365448614,0.27039822470165953
logistic_regression,42,0.25016689436072204,0.2836736458771896
logistic_regression,43,0.2409795440024238,0.2769681273272643
logistic_regression,44,0.2479586478571479,0.2805269005356232
logistic_regression,45,0.2432436080896932,0.27670048021398913
logistic_regression,46,0.2417394635201233,0.27624588804180794
logistic_regression,47,0.24800283057295633,0.2814747005015882
logistic_regression,48,0.24257646517332035,0.27282127057783084
logistic_regression,49,0.24211280146124226,0.27512207403232813
logistic_regression,50,0.243738664328162,0.2793323784645721
logistic_regression,51,0.24327159522002062,0.2732612716621453
logistic_regression,52,0.24506993555658044,0.2750697257306332
logistic_regression,53,0.240997521506976,0.2741376122316531
logistic_regression,54,0.2415640368996611,0.27241190946770083
logistic_regression,55,0.24322476595672937,0.2753895904699849
logistic_regression,56,0.24470516218582583,0.275338172645918
logistic_regression,57,0.23934335384604177,0.2723858155046203
logistic_regression,58,0.24384308520361767,0.2740658079753924
logistic_regression,59,0.23865199597656614,0.272393781271217
logistic_regression,60,0.24029935245249576,0.27030124039215175
logistic_regression,61,0.24143603517974227,0.27163422315127556
logistic_regression,62,0.24732018105042422,0.28014675705082126
logistic_regression,63,0.2403925419689919,0.27439852110188107
logistic_regression,64,0.24181125448886978,0.2749462371639891
logistic_regression,65,0.24563137941729837,0.28051172976474587
logistic_regression,66,0.24499515417388884,0.27874469488174314
logistic_regression,67,0.240904196549049,0.2725981706927303
logistic_regression,68,0.24258227612001199,0.27432986714231966
logistic_regression,69,0.24043245227496907,0.2739427354114221
logistic_regression,70,0.24339022281711456,0.2739705380710206
logistic_regression,71,0.24093272002272456,0.27126620435768384
logistic_regression,72,0.24544121382711234,0.2796441978545974
logistic_regression,73,0.24319896903712498,0.27744091283307776
logistic_regression,74,0.24448448455983557,0.27421551085773693
logistic_regression,75,0.2407970106937385,0.2743817840892328
logistic_regression,76,0.2457366588661123,0.27935740707798074
logistic_regression,77,0.2456131213850806,0.2763122200739687
logistic_regression,78,0.24213343515691088,0.2734853072579624
logistic_regression,79,0.2459145628741268,0.27951835986260454
logistic_regression,80,0.2421918078241881,0.27300606302036906
logistic_regression,81,0.2422582544451154,0.2743739301025358
logistic_regression,82,0.24542035752579502,0.27774053178632807
logistic_regression,83,0.24382826322827592,0.27777385432036367
logistic_regression,84,0.23848398547791685,0.27131667003047416
logistic_regression,85,0.23988383803139615,0.2727341160181803
logistic_regression,86,0.2414073697738372,0.2763994919899238
logistic_regression,87,0.24389101704047436,0.2764258748808935
logistic_regression,88,0.24047381775276072,0.27102176070797074
logistic_regression,89,0.24192761389622366,0.2746735273434011
logistic_regression,90,0.24315576989792764,0.27593017420295657
logistic_regression,91,0.24256383381916957,0.2706837022957405
logistic_regression,92,0.24598699046503777,0.27794164127892645
logistic_regression,93,0.2442573207986379,0.2763979709151521
logistic_regression,94,0.24247308481901098,0.2755435224124112
logistic_regression,95,0.24050844367102406,0.27228446914298543
logistic_regression,96,0.24550053536674626,0.27648925661233564
logistic_regression,97,0.24230055073066512,0.2753020553624961
logistic_regression,98,0.24221640428253635,0.27560556472392217
logistic_regression,99,0.24587020546709853,0.2770909004896244
logistic_regression,100,0.24073902838931518,0.2733762926728638
xgboost,1,1.7982151374859043,1.802278820461225
xgboost,2,1.6724450334077081,1.6799099656857643
xgboost,3,1.5632616107769668,1.5741022565051548
xgboost,4,1.4666394520643873,1.4799234943205812
xgboost,5,1.3806649333964294,1.3960397079775044
xgboost,6,1.3029100988383646,1.320110965058285
xgboost,7,1.2319412207485538,1.2517902059031134
xgboost,8,1.1670085315163432,1.189040702364581
xgboost,9,1.1073865991359784,1.1310031447661923
xgboost,10,1.0522681826304778,1.0771949258926805
xgboost,11,1.0012726970726498,1.0279446584964205
xgboost,12,0.9536684904238506,0.9816165843448907
xgboost,13,0.9095124281683332,0.9389021708156413
xgboost,14,0.8683806703640864,0.8994355726525265
xgboost,15,0.8298351252930773,0.8619120915288295
xgboost,16,0.7937083417938017,0.8270773592044799
xgboost,17,0.7594922735329039,0.7939337209232135
xgboost,18,0.7275235521709318,0.7637529382461429
xgboost,19,0.6972477157580329,0.7347322005471567
xgboost,20,0.6687893345708986,0.707403499901339
xgboost,21,0.6419566629636191,0.6818479980551586
xgboost,22,0.6167083618472303,0.657873173753863
xgboost,23,0.5927420380861147,0.6348772382815856
xgboost,24,0.5701399539522556,0.613205105309674
xgboost,25,0.5487709191269992,0.5925565025677217
xgboost,26,0.5282307827860309,0.5729954254653777
xgboost,27,0.5089771209372278,0.5545149948876614
xgboost,28,0.49057524050961765,0.5370248754819235
xgboost,29,0.4731552285306594,0.5204943768962189
xgboost,30,0.45668261562110773,0.5049465869255392
xgboost,31,0.44087635435255706,0.49021175910830056
xgboost,32,0.42592398587257174,0.4763137856145744
xgboost,33,0.411669926020292,0.4628273046007843
xgboost,34,0.39820514591282374,0.45015856380275027
xgboost,35,0.3854058545290966,0.43809206336847306
xgboost,36,0.3731055460681316,0.4262763734716084
xgboost,37,0.3614028869638766,0.41543447590794663
xgboost,38,0.3502729964403056,0.4052478228132195
xgboost,39,0.33964308725806597,0.3956151935309946
xgboost,40,0.32951022124624146,0.38652771214644116
xgboost,41,0.31983926598428364,0.377475759533041
xgboost,42,0.31064017853222053,0.36877783937151554
xgboost,43,0.3018346528583334,0.3606167488414089
xgboost,44,0.29350714254891086,0.3529594674120148
xgboost,45,0.2855090865000767,0.3458136693694101
xgboost,46,0.2779463505470212,0.33897079314978457
xgboost,47,0.2706683777209195,0.3323927930353656
xgboost,48,0.26372021473462015,0.32609249211145314
xgboost,49,0.2570255932490361,0.32026773959442517
xgboost,50,0.2506808776239477,0.314615323149503
xgboost,51,0.2447221066171993,0.3091000465105088
xgboost,52,0.23888994245861978,0.3038018869973149
xgboost,53,0.23321640570985636,0.29869073436892113
xgboost,54,0.2278241048461448,0.2938655583767335
xgboost,55,0.22265548172463595,0.2892802580361377
xgboost,56,0.21786483398465298,0.2849344569683606
xgboost,57,0.21317823987333046,0.28096168206723954
xgboost,58,0.20866210965982027,0.27717061970264006
xgboost,59,0.20423013895928804,0.273298377963509
xgboost,60,0.20006087772908066,0.2697574053050946
xgboost,61,0.19608264495721053,0.2661062137243831
xgboost,62,0.19225211779509646,0.26268590595946545
xgboost,63,0.1885816885626286,0.2595464051317399
xgboost,64,0.185107101723246,0.2566804189619393
xgboost,65,0.18170358701532144,0.2538948489744396
xgboost,66,0.17850356517781224,0.2513885857052022
xgboost,67,0.17532275854289928,0.24884460348450615
xgboost,68,0.17237720987208263,0.2463724170330948
xgboost,69,0.16948602062436477,0.24381932575855772
xgboost,70,0.1668210122434419,0.24161448755316053
xgboost,71,0.1642156223649196,0.23933480588170272
xgboost,72,0.16165613803840445,0.2372221648029336
xgboost,73,0.159175738932195,0.23535976239494596
xgboost,74,0.15677497220883918,0.23342817561298543
xgboost,75,0.1545230057970588,0.2314844034064586
xgboost,76,0.15245354602586328,0.2299460310228971
xgboost,77,0.15030478374777934,0.22822066360521776
xgboost,78,0.14819945910763052,0.22670040506545977
xgboost,79,0.14618176665173938,0.22521097133380003
xgboost,80,0.144156633449461,0.22377027469149943
xgboost,81,0.1422262583316034,0.2223990429690593
xgboost,82,0.1404604365968612,0.2209224170509452
xgboost,83,0.13871872086831769,0.21958058482864298
xgboost,84,0.13703739714501914,0.2184829923553142
xgboost,85,0.13538647517224783,0.21744871363403315
xgboost,86,0.13381731892158474,0.21626234363070354
xgboost,87,0.13234149628006903,0.21505594573384007
xgboost,88,0.13084389592056261,0.2140804441948577
xgboost,89,0.1294225678812212,0.21306346469429482
xgboost,90,0.12806710249414183,0.21212521738441192
xgboost,91,0.1268305127501784,0.21120721387311142
xgboost,92,0.1255471837519384,0.21036602967676624
xgboost,93,0.12417763800893497,0.20940741165053672
xgboost,94,0.1230165654383533,0.2087975915676258
xgboost,95,0.12178659176860268,0.2080168650978547
xgboost,96,0.1206893211702618,0.20738406976409748
xgboost,97,0.11957082379498407,0.20684905548848947
xgboost,98,0.1184001490597231,0.20599320039579005
xgboost,99,0.1173605433146094,0.2053060630459474
xgboost,100,0.11639151529460051,0.20466742008293923
xgboost,101,0.1153795363839767,0.20410177993512787
xgboost,102,0.11445985956380747,0.20345230700908631
xgboost,103,0.11354656783093794,0.20290536313914398
xgboost,104,0.11268355179280921,0.20231950951155217
xgboost,105,0.1116859504111573,0.20190416008742898
xgboost,106,0.11074975600911457,0.20148752381749943
xgboost,107,0.10985831461887402,0.20094645115233675
xgboost,108,0.10897397001092722,0.20043069140262398
xgboost,109,0.10818958463761566,0.2001983229649608
xgboost,110,0.10734733947751,0.19987917037434605
xgboost,111,0.10655516075200867,0.19969531921420935
xgboost,112,0.10577236516240447,0.19928098036427086
xgboost,113,0.10505284631875117,0.19901286596715803
xgboost,114,0.10429822887764115,0.19861120269886193
xgboost,115,0.1035360562725644,0.1981611245152082
xgboost,116,0.10280327352368915,0.19794690061108927
xgboost,117,0.10205524609426428,0.19765204639065492
xgboost,118,0.10132366581533293,0.19729846474488488
xgboost,119,0.10068768330073621,0.197036147316048
xgboost,120,0.09991792988646189,0.19685423605347296
xgboost,121,0.0993078716741819,0.19645879777931727
xgboost,122,0.09870344725513709,0.19634770984040972
xgboost,123,0.09798732275285565,0.19617990893398224
xgboost,124,0.09733520494943039,0.19595577590701288
xgboost,125,0.09668271046659693,0.19587886524189654
xgboost,126,0.09609815836378875,0.19541197849535083
xgboost,127,0.09538043192770569,0.19512102811416832
xgboost,128,0.09475329202697043,0.19491174252138216
xgboost,129,0.09420342430404556,0.19497683915947775
xgboost,130,0.093669090429612,0.1947100150496398
xgboost,131,0.09309218602726774,0.19465034272011478
xgboost,132,0.09264270405732541,0.1946359196298914
xgboost,133,0.092108191563322,0.19426072324327462
xgboost,134,0.09149434338025353,0.19424505556073474
xgboost,135,0.0909900035132444,0.19425960135478154
xgboost,136,0.09033118962898959,0.19425109706756138
xgboost,137,0.08978881035245094,0.19424976158141122
xgboost,138,0.0892901962583946,0.19417223978217943
xgboost,139,0.08875401262923306,0.19411131267957168
xgboost,140,0.08822093752666234,0.19395044539504047
xgboost,141,0.08781885263484028,0.19396815925792313
xgboost,142,0.08717814982749118,0.19398897826279574
xgboost,143,0.08650096223765225,0.1938337165969144
xgboost,144,0.08596788537317122,0.193725757993728
xgboost,145,0.08558453477559529,0.19384117771893167
xgboost,146,0.08524841280839984,0.19370544673570755
xgboost,147,0.08467038096981085,0.1938130729092816
xgboost,148,0.08417309008423912,0.19368706747845268
xgboost,149,0.08373637024259212,0.19364566222658075
xgboost,150,0.08332777240354114,0.1936129764440271
xgboost,151,0.08279442591798966,0.19373823755668612
xgboost,152,0.08231581957210549,0.19365619790265662
xgboost,153,0.08180786771421213,0.19361298128593651
xgboost,154,0.08125284610176112,0.19370173683651717
xgboost,155,0.08093145239238654,0.19360156503390885
xgboost,156,0.08040008378645563,0.19359847292092816
xgboost,157,0.07990650437359754,0.19375785063511783
xgboost,158,0.07960745012286201,0.19369036084906638
xgboost,159,0.07923651919048363,0.1937104376484436
xgboost,160,0.07888966039657795,0.19373631637057556
xgboost,161,0.07844988751359389,0.19383547917946464
xgboost,162,0.07811667530678813,0.19379635786808094
xgboost,163,0.07764233132818127,0.19382083897825272
xgboost,164,0.07722688439925642,0.19371084718829823
xgboost,165,0.07677242929631338,0.19361051873055216
xgboost,166,0.07628230914813187,0.19376919484520455
xgboost,167,0.07578824433487011,0.1938788440323427
xgboost,168,0.07534950932563896,0.19386509775660127
xgboost,169,0.07492283354004589,0.19392643695860187
xgboost,170,0.07463424415737628,0.19389799434241217
xgboost,171,0.0743622152056386,0.19377067743015144
xgboost,172,0.07398198116628778,0.1937659567819373
xgboost,173,0.07366185511998247,0.193856259351012
xgboost,174,0.07304546014438691,0.19390532874228963
xgboost,175,0.07258020669466297,0.19394732941648665
xgboost,176,0.07216163066892255,0.19391317178322204
xgboost,177,0.07171570073207198,0.19411097626310186
xgboost,178,0.07145998018739518,0.1941052773889948
xgboost,179,0.07108992954556366,0.19392263540853252
xgboost,180,0.07058282405495409,0.19390674080465814
xgboost,181,0.07021460874619356,0.19395445408677245
xgboost,182,0.06985764695475714,0.19392317444656137
xgboost,183,0.06965604326007489,0.19395959391605225
xgboost,184,0.06941791435677579,0.19395017326307679
xgboost,185,0.0690734113228951,0.19410354569379748
xgboost,186,0.06879022704281623,0.19411170498749555
xgboost,187,0.06842727551999787,0.19405872975236688
xgboost,188,0.06808560880049624,0.19405362099664406
xgboost,189,0.06769664435393098,0.19417446796456836
xgboost,190,0.06737285334641327,0.19422843685036084
xgboost,191,0.06688798004744126,0.19422977581773535
xgboost,192,0.06651753647589423,0.19429322425932877
xgboost,193,0.06618648509239822,0.19438249029993265
xgboost,194,0.06566548302930166,0.19444927207169896
xgboost,195,0.06532399788582352,0.1945373761064806
xgboost,196,0.06509828119360409,0.19450540539257435
xgboost,197,0.0648659162536667,0.19459751176881365
xgboost,198,0.0645937108637162,0.19460131441901643
xgboost,199,0.06425699825787279,0.19460840383993977
xgboost,200,0.0638846135570365,0.19451230202525222
xgboost,201,0.06359211654286194,0.1944886198736502
xgboost,202,0.06330514950977825,0.1945709394713535
xgboost,203,0.06289823224448454,0.19451953431208266
xgboost,204,0.06270192558870065,0.19455862455775252
xgboost,205,0.06242800719629709,0.1946197388943979
xgboost,206,0.06202798255395382,0.1946814732711037
xgboost,207,0.06162000196030751,0.19486781565430827
xgboost,208,0.0612381309722426,0.19506480763254946
xgboost,209,0.0608690668941446,0.1951747133342161
xgboost,210,0.06051211097516167,0.19520596351113093
xgboost,211,0.06011052360818225,0.19520434418619032
xgboost,212,0.05985972847869815,0.19525893470875672
xgboost,213,0.05960476682840586,0.19547345403177127
xgboost,214,0.0593056142820785,0.19556055756153728
xgboost,215,0.05903296740945041,0.19550076649348308
xgboost,216,0.05859764470297278,0.1956224470033005
xgboost,217,0.05825574436416054,0.1955831742861421
xgboost,218,0.05793853079765685,0.19546977179383795
xgboost,219,0.05752978645430593,0.19566255985725406
xgboost,220,0.05718946212037948,0.19572181572775343
