"model_key","model","noise_type","strength","test_accuracy","test_macro_f1","accuracy_drop","macro_f1_drop","train_seconds"
"logistic_regression","逻辑回归","gaussian","0.05","0.91487029594446478","0.92702723789718278","0.00073072707343802","0.00011240486278119022","0.5599174000017229"
"logistic_regression","逻辑回归","gaussian","0.1","0.91450493240774577","0.92692723789718279","0.00109609061015703","0.0002124048627811792","0.5826121999998577"
"logistic_regression","逻辑回归","gaussian","0.2","0.91413956887102676","0.9268272378971828","0.00146145414687604","0.00031240486278116819","0.576399700003094"
"logistic_regression","逻辑回归","impulse","0.01","0.91158202411399347","0.92368068845781681","0.0040189989039093321","0.0034589543021471547","0.587255999998888"
"logistic_regression","逻辑回归","impulse","0.03","0.89842893679210811","0.91125651387624373","0.017172086225794692","0.015883128883720232","0.583583899999212"
"logistic_regression","逻辑回归","impulse","0.05","0.87431494336865179","0.89007160002694974","0.041286079649251017","0.037068042733014228","0.5828359000006458"
"logistic_regression","逻辑回归","missing","0.05","0.91523565948118379","0.927039642759964","0.00036536353671901","9.9999999999988987E-05","0.5825924999953713"
"logistic_regression","逻辑回归","missing","0.1","0.91487029594446478","0.92637081101439367","0.00073072707343802","0.00076883174557029754","0.5794188999934704"
"logistic_regression","逻辑回归","missing","0.2","0.89039093898428934","0.8979525472215214","0.025210084033613467","0.029187095538442565","0.5975536000041757"
"logistic_regression","逻辑回归","label","0.05","0.91158202411399347","0.92312166402897144","0.0040189989039093321","0.0040179787309925219","0.5770155999998678"
"logistic_regression","逻辑回归","label","0.1","0.90829375228352216","0.91865259308702452","0.0073072707343806442","0.00848704967293945","0.5893040000009933"
"logistic_regression","逻辑回归","label","0.2","0.90792838874680315","0.91855259308702453","0.0076726342710996542","0.00858704967293944","0.6207983999993303"
"knn","KNN","gaussian","0.05","0.92327365728900257","0.93538596794888462","0.0036536353671903221","0.0026578469749026779","0.022078100002545398"
"knn","KNN","gaussian","0.1","0.91998538545853126","0.93243758037156066","0.0069419071976616342","0.005606234552226641","0.02176340000005439"
"knn","KNN","gaussian","0.2","0.91962002192181225","0.93233758037156067","0.0073072707343806442","0.00570623455222663","0.0205024000024423"
"knn","KNN","impulse","0.01","0.92583120204603575","0.93794381492378731","0.001096090610157141","9.9999999999988987E-05","0.022086500001023524"
"knn","KNN","impulse","0.03","0.92035074899525027","0.93271111204868407","0.0065765436609426242","0.0053327028751032346","0.023127100001147483"
"knn","KNN","impulse","0.05","0.91633175009134094","0.929591211394368","0.010595542564851956","0.0084526035294193447","0.02258330000040587"
"knn","KNN","missing","0.05","0.92254293021556444","0.93361125243190168","0.0043843624406284532","0.0044325624918856166","0.022405099996831268"
"knn","KNN","missing","0.1","0.92035074899525027","0.932069442756428","0.0065765436609426242","0.0059743721673592987","0.0203306999974302"
"knn","KNN","missing","0.2","0.917427840701498","0.92847180096271686","0.0094994519546949263","0.0095720139610704358","0.021700600002077408"
"knn","KNN","label","0.05","0.92510047497259773","0.93590491405325693","0.0018268176835951611","0.0021389008705303691","0.020450999996683095"
"knn","KNN","label","0.1","0.92254293021556444","0.93197831631805972","0.0043843624406284532","0.0060654986057275817","0.02163750000181608"
"knn","KNN","label","0.2","0.907197661673365","0.91777701408432244","0.019729630982827873","0.02026680083946486","0.021857100000488572"
"random_forest","随机森林","gaussian","0.05","0.92254293021556455","0.93365925885965417","0.00036536353671901","9.9999999999988987E-05","0.640893199997663"
"random_forest","随机森林","gaussian","0.1","0.92217756667884554","0.93355925885965418","0.00073072707343802","0.00019999999999997797","0.5866842000032193"
"random_forest","随机森林","gaussian","0.2","0.92181220314212653","0.9334592588596542","0.00109609061015703","0.00029999999999996696","0.5952077000038116"
"random_forest","随机森林","impulse","0.01","0.92254293021556455","0.93365925885965417","0.00036536353671901","9.9999999999988987E-05","0.5465057999972487"
"random_forest","随机森林","impulse","0.03","0.91998538545853126","0.9311134367457","0.0029229082937523021","0.0026458221139541438","0.5383490000021993"
"random_forest","随机森林","impulse","0.05","0.91962002192181225","0.92999024477460956","0.0032882718304713121","0.0037690140850445975","0.5416198000020813"
"random_forest","随机森林","missing","0.05","0.92181220314212642","0.93149703812519291","0.001096090610157141","0.002262220734461251","0.5820461000039359"
"random_forest","随机森林","missing","0.1","0.92144683960540741","0.93129763263067133","0.0014614541468761511","0.0024616262289828272","0.530329500004882"
"random_forest","随机森林","missing","0.2","0.91998538545853126","0.92990647849416574","0.0029229082937523021","0.0038527803654884174","0.5854484000010416"
"random_forest","随机森林","label","0.05","0.92035074899525027","0.931115807950774","0.0025575447570332921","0.002643450908880185","0.6067411999974865"
"random_forest","随机森林","label","0.1","0.91998538545853126","0.931015807950774","0.0029229082937523021","0.002743450908880174","0.6341297000035411"
"random_forest","随机森林","label","0.2","0.917062477164779","0.92713722758283534","0.0058458165875046042","0.0066220312768188183","0.674931799992919"
"xgboost","XGBoost","gaussian","0.05","0.92583120204603586","0.93777354828852066","0.00036536353671901","9.9999999999988987E-05","1.6314870999995037"
"xgboost","XGBoost","gaussian","0.1","0.92546583850931674","0.93689700328508407","0.000730727073438131","0.00097654500343657968","1.6721046999955433"
"xgboost","XGBoost","gaussian","0.2","0.92510047497259773","0.93679700328508408","0.001096090610157141","0.0010765450034365687","1.7206556999954046"
"xgboost","XGBoost","impulse","0.01","0.92473511143587872","0.93679800681376968","0.0014614541468761511","0.0010755414747509739","1.6525343000030261"
"xgboost","XGBoost","impulse","0.03","0.92436974789915971","0.93669800681376969","0.0018268176835951611","0.0011755414747509629","1.8675125000008848"
"xgboost","XGBoost","impulse","0.05","0.9240043843624407","0.93635538092568793","0.0021921812203141711","0.001518167362832723","1.9549382999975933"
"xgboost","XGBoost","missing","0.05","0.92583120204603586","0.93745539602542649","0.00036536353671901","0.00041815226309416254","1.6464553000041633"
"xgboost","XGBoost","missing","0.1","0.92546583850931685","0.9373553960254265","0.00073072707343802","0.00051815226309415152","1.6820958999960567"
"xgboost","XGBoost","missing","0.2","0.92510047497259784","0.93636549642408007","0.00109609061015703","0.0015080518644405849","1.5173896999986027"
"xgboost","XGBoost","label","0.05","0.92583120204603586","0.93694321031981187","0.00036536353671901","0.00093033796870878316","2.025099600003159"
"xgboost","XGBoost","label","0.1","0.92546583850931685","0.93684321031981188","0.00073072707343802","0.0010303379687087721","2.059419599994726"
"xgboost","XGBoost","label","0.2","0.92400438436244059","0.93482458738618146","0.0021921812203142821","0.0030489609023391928","2.009545699998853"
"handmade_gnb","手写高斯朴素贝叶斯","gaussian","0.05","0.83156740957252473","0.83755005407448","0.00036536353671901","9.9999999999988987E-05","0.009544200001982972"
"handmade_gnb","手写高斯朴素贝叶斯","gaussian","0.1","0.82718304713189628","0.83307087043743955","0.0047497259773474632","0.0045791836370404626","0.005328599996573757"
"handmade_gnb","手写高斯朴素贝叶斯","gaussian","0.2","0.81439532334673","0.81706846322223792","0.0175374497625137","0.020581590852242093","0.005351799998607021"
"handmade_gnb","手写高斯朴素贝叶斯","impulse","0.01","0.83156740957252473","0.83755005407448","0.00036536353671901","9.9999999999988987E-05","0.00475150000420399"
"handmade_gnb","手写高斯朴素贝叶斯","impulse","0.03","0.83120204603580572","0.83745005407448","0.00073072707343802","0.00019999999999997797","0.004756800000905059"
"handmade_gnb","手写高斯朴素贝叶斯","impulse","0.05","0.82974059188892946","0.83030453273227223","0.0021921812203142821","0.0073455213422077836","0.00460179999936372"
"handmade_gnb","手写高斯朴素贝叶斯","missing","0.05","0.83010595542564847","0.83281784178820861","0.0018268176835952721","0.0048322122862713979","0.004625800000212621"
"handmade_gnb","手写高斯朴素贝叶斯","missing","0.1","0.82827913774205331","0.8270998456687042","0.0036536353671904331","0.010550208405775807","0.004535699998086784"
"handmade_gnb","手写高斯朴素贝叶斯","missing","0.2","0.81512605042016806","0.808172843933581","0.016806722689075682","0.029477210140898991","0.00470820000191452"
"handmade_gnb","手写高斯朴素贝叶斯","label","0.05","0.8279137742053343","0.81974123002158772","0.0040189989039094431","0.017908824052892292","0.005078300004242919"
"handmade_gnb","手写高斯朴素贝叶斯","label","0.1","0.79722323712093535","0.78757807754372033","0.034709535988308393","0.050071976530759676","0.004927699999825563"
"handmade_gnb","手写高斯朴素贝叶斯","label","0.2","0.78662769455608328","0.77222246410936835","0.045305078553160461","0.065427589965111665","0.0048679000028641894"
